iter	Passed	Remaining
1093	26251	33738
1094	26274	33713
1095	26299	33689
1096	26322	33665
1097	26362	33660
1098	26403	33658
1099	26433	33642
1100	26463	33625
1101	26490	33605
1102	26513	33580
1103	26536	33555
1104	26560	33531
1105	26582	33504
1106	26604	33477
1107	26627	33453
1108	26649	33426
1109	26671	33399
1110	26693	33372
1111	26717	33348
1112	26742	33325
1113	26765	33300
1114	26790	33278
1115	26815	33255
1116	26839	33230
1117	26861	33204
1118	26883	33177
1119	26907	33153
1120	26929	33127
1121	26950	33099
1122	26974	33076
1123	26993	33045
1124	27012	33015
1125	27032	32986
1126	27057	32964
1127	27078	32935
1128	27099	32907
1129	27120	32880
1130	27140	32851
1131	27161	32824
1132	27181	32794
1133	27202	32767
1134	27222	32738
1135	27241	32709
1136	27260	32679
1137	27278	32648
1138	27297	32617
1139	27318	32590
1140	27339	32562
1141	27359	32534
1142	27378	32504
1143	27398	32476
1144	27418	32447
1145	27437	32417
1146	27459	32391
1147	27483	32366
1148	27505	32341
1149	27527	32314
1150	27552	32292
1151	27575	32266
1152	27599	32243
1153	27623	32218
1154	27644	32192
1155	27669	32168
1156	27691	32142
1157	27718	32122
1158	27741	32097
1159	27772	32082
1160	27797	32059
1161	27822	32036
1162	27843	32009
1163	27867	31985
1164	27890	31959
1165	27912	31934
1166	27934	31907
1167	27956	31882
1168	27979	31856
1169	28001	31830
1170	28023	31804
1171	28047	31780
1172	28070	31756
1173	28095	31733
1174	28119	31709
1175	28147	31689
1176	28171	31666
1177	28200	31647
1178	28228	31627
1179	28252	31604
1180	28278	31582
1181	28302	31558
1182	28329	31538
1183	28353	31514
1184	28376	31489
1185	28398	31463
1186	28420	31436
1187	28443	31412
1188	28465	31385
1189	28485	31358
1190	28509	31334
1191	28532	31309
1192	28553	31282
1193	28581	31262
1194	28603	31236
1195	28631	31217
1196	28672	31211
1197	28696	31188
1198	28719	31162
1199	28747	31142
1200	28768	31115
1201	28799	31099
1202	28823	31075
1203	28844	31048
1204	28866	31022
1205	28889	30998
1206	28913	30973
1207	28942	30954
1208	28963	30928
1209	28983	30899
1210	29003	30871
1211	29024	30844
1212	29043	30814
1213	29062	30786
1214	29083	30758
1215	29102	30730
1216	29125	30704
1217	29147	30678
1218	29165	30649
1219	29187	30622
1220	29206	30593
1221	29227	30566
1222	29246	30537
1223	29264	30507
1224	29285	30480
1225	29306	30454
1226	29328	30428
1227	29351	30403
1228	29373	30377
1229	29393	30349
1230	29413	30321
1231	29439	30299
1232	29462	30274
1233	29485	30250
1234	29507	30223
1235	29530	30199
1236	29552	30174
1237	29574	30147
1238	29611	30137
1239	29636	30114
1240	29659	30089
1241	29683	30065
1242	29707	30041
1243	29732	30019
1244	29755	29994
1245	29780	29971
1246	29801	29944
1247	29822	29918
1248	29846	29894
1249	29871	29871
1250	29895	29848
1251	29917	29822
